,film_id,genre
379,147,Drama
380,147,Romance
381,148,Action
382,148,Drama
383,149,Action
384,149,Adventure
385,149,Drama
386,150,Drama
387,150,Thriller
388,151,Adventure
389,151,Comedy
390,151,Crime
391,152,Action
392,152,Adventure
393,152,Sci-Fi
394,153,Action
395,153,Adventure
396,153,Thriller
397,154,Animation
398,154,Adventure
399,154,Family
400,155,Action
401,155,Adventure
402,155,Comedy
403,156,Mystery
404,156,Thriller
405,157,Action
406,157,Adventure
407,157,Sci-Fi
408,158,Crime
409,158,Drama
410,158,Thriller
411,159,Action
412,159,Comedy
413,159,Mystery
414,160,Drama
415,160,War
416,161,Biography
417,161,Drama
418,161,History
419,162,Biography
420,162,Drama
421,162,Music
422,163,Drama
423,163,Horror
424,163,Sci-Fi
425,164,Animation
426,164,Adventure
427,164,Drama
428,165,Biography
429,165,Drama
430,165,Romance
431,166,Crime
432,166,Drama
433,166,Mystery
434,167,Crime
435,167,Drama
436,168,Action
437,168,Sci-Fi
438,169,Drama
439,169,Mystery
440,169,Thriller
441,170,Comedy
442,170,Drama
443,171,Drama
444,171,Fantasy
445,171,War
446,172,Adventure
447,172,Family
448,172,Fantasy
449,173,Comedy
450,173,Horror
451,174,Comedy
452,174,Crime
453,175,Crime
454,175,Drama
455,176,Drama
456,176,Horror
457,176,Sci-Fi
458,177,Biography
459,177,Crime
460,177,Drama
461,178,Comedy
462,178,Drama
463,178,Romance
464,179,Adventure
465,179,Drama
466,179,Sci-Fi
467,180,Drama
468,181,Crime
469,181,Drama
470,181,Mystery
471,182,Comedy
472,182,Drama
473,182,Music
474,183,Adventure
475,183,Drama
476,184,Drama
477,184,Thriller
478,185,Drama
479,185,Mystery
480,185,Sci-Fi
481,186,Comedy
482,186,Drama
483,186,Romance
484,187,Action
485,187,Adventure
486,187,Drama
487,188,Action
488,188,Adventure
489,188,Comedy
490,189,Action
491,189,Adventure
492,189,Sci-Fi
493,190,Drama
494,190,Family
495,191,Biography
496,191,Drama
497,192,Action
498,192,Comedy
499,192,Crime
500,193,Adventure
501,193,Family
502,193,Fantasy
503,194,Drama
504,195,Drama
505,196,Adventure
506,196,Sci-Fi
507,197,Drama
508,197,Thriller
509,198,Adventure
510,198,Comedy
511,198,Drama
512,199,Animation
513,199,Adventure
514,199,Comedy
515,200,Adventure
516,200,Fantasy
